a52dec 0.7.4-10
aalib 1.4rc5-13
accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-2
acpi 1.7-2
adapta-gtk-theme 3.95.0.11-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.36.1-1
adwaita-qt 1.1.1-1
aircrack-ng 1.6-2
alsa-lib 1.2.2-1
alsa-plugins 1.2.2-1
alsa-tools 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
alsa-utils 1.2.2-1
amtk 5.0.2-1
ansible 2.9.7-1
antlr4-runtime 4.8-1
aom 1.0.0.errata1+avif-1
apache 2.4.43-1
appstream 0.12.10-2
appstream-glib 0.7.17-1
appstream-qt 0.12.10-2
apr 1.7.0-2
apr-util 1.6.1-6
arandr 0.1.10-4
arc-gtk-theme 20190917-1
arc-icon-theme 20161122-2
arc-kde 20180614-3
arc-solid-gtk-theme 20190917-1
archlinux-appstream-data 20200415-1
archlinux-keyring 20200422-1
archlinux-wallpaper 1.4-6
argon2 20190702-2
aribb24 1.0.3-2
ark 20.04.0-1
asar 3.0.3-1
asciidoc 8.6.10-1
aspell 0.60.8-1
assimp 5.0.1-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-1
attica 5.69.0-1
attr 2.4.48-2
audit 2.8.5-6
augeas 1.12.0-1
autoconf 2.69-7
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
aws-cli 1.18.49-1
babl 0.1.74-1
baloo 5.69.0-1
baloo-widgets 20.04.0-1
bash 5.0.016-1
bc 1.07.1-4
bind-tools 9.16.2-2
binutils 2.34-2
bison 3.5.4-1
black-hole-solver 1.6.0-1
blas 3.9.0-2
bluedevil 1:5.18.4.1-1
bluez 5.54-2
bluez-libs 5.54-2
bluez-qt 5.69.0-1
bluez-utils 5.54-2
bolt 0.8-3
boost-libs 1.72.0-1
breeze 5.18.4.1-1
breeze-gtk 5.18.4.1-1
breeze-icons 5.69.0-1
bridge-utils 1.6-4
brltty 6.0-8
brotli 1.0.7-3
btrfs-progs 5.6-1
bubblewrap 0.4.1-1
bully 1.1.12.g04185d7-1
bzip2 1.0.8-3
c-ares 1.16.0-1
c-client 2007f-10
ca-certificates 20181109-3
ca-certificates-mozilla 3.51.1-1
ca-certificates-utils 20181109-3
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
caja-extensions-common 1.24.0-1
cantarell-fonts 1:0.201-1
cdparanoia 10.2-7
cdrtools 3.02a09-2
celt0.5.1 0.5.1.3-4
ceph-libs 14.2.8-1
cfitsio 1:3.47-1
chromaprint 1.5.0-1
cifs-utils 6.10-1
clucene 2.3.3.4-10
clutter 1.26.4-1
clutter-gst 3.0.27-2
clutter-gtk 1.8.4-1
cmake 3.17.2-1
code 1.44.2-1
cogl 1.22.6-1
colord 1.4.4+9+g1ce26da-1
colord-gtk 0.2.0-1
colord-sane 1.4.4+9+g1ce26da-1
composer 1.10.5-1
confuse 3.2.2-1
consul 1.7.1-1
consul-template 0.22.1-1
containerd 1.3.4-2
convertlit 1.8-8
coreutils 8.32-1
cpupower 5.6-1
cracklib 2.9.7-2
cryptsetup 2.3.2-1
ctags 1:r20200106+ga3c87ab5-1
ctemplate 2.4-1
cups 2.3.3-1
cups-filters 1.27.4-1
cups-pk-helper 0.2.6-3
curl 7.70.0-1
dav1d 0.6.0-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-1
dconf 0.36.0-1
desktop-file-utils 0.24-2
device-mapper 2.02.187-1
dhcpcd 9.0.2-1
dialog 1:1.3_20200327-1
diffutils 3.7-3
dina-font 2.92-7
discount 2.2.6-1
discover 5.18.4.1-1
djvulibre 3.5.27-5
dkms 2.8.1-2
dleyna-connector-dbus 0.3.0-2
dleyna-core 0.6.0+2+g1c6853f-1
dleyna-renderer 0.6.0-3
dleyna-server 0.6.0+2+geb895ae-1
dmenu 4.9-1
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-2
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
docker 1:19.03.8-2
docker-compose 1.25.5-1
dolphin 20.04.0-1
dosfstools 4.1-3
dotconf 1.3-5
double-conversion 3.1.5-1
downgrader-git 2.0.0.r158.f346695-3
doxygen 1.8.18-1
drkonqi 5.18.4.1-1
dunst 1.4.1-1
e2fsprogs 1.45.6-1
ebook-tools 0.2.2-6
editorconfig-core-c 0.12.3-1
electron4 4.2.12-4
electron6 6.1.9-3
electron7 7.1.14-3
elfutils 0.178-2
enchant 2.2.8-1
ethtool 1:5.4-1
exempi 2.5.1-1
exiv2 0.27.2-1
expat 2.2.9-3
faac 1.30-2
faad2 2.9.1-2
fakeroot 1.24-2
farstream 0.2.9-1
feh 3.4-1
ffmpeg 1:4.2.2-6
fftw 3.3.8-2
file 5.38-3
filesystem 2019.10-2
findutils 4.7.0-2
firefox 75.0-2
fish 3.1.1-1
flac 1.3.3-1
flashplugin 32.0.0.363-1
flatpak 1.7.2-1
flex 2.6.4-3
fluidsynth 2.1.2-1
fontconfig 2:2.13.91+24+g75eadca-2
frameworkintegration 5.69.0-1
freecell-solver 5.22.1-1
freerdp 2:2.0.0-2
freetds 1.1.33-1
freetype2 2.10.1-2
frei0r-plugins 1.7.0-1
fribidi 1.0.9-1
fuse-common 3.9.1-1
fuse2 2.9.9-3
fuse3 3.9.1-1
gavl 1.4.0-3
gawk 5.1.0-1
gc 8.0.4-3
gcab 1.4-1
gcc 9.3.0-1
gcc-libs 9.3.0-1
gconf 3.2.6+11+g07808097-5
gcr 3.36-1
gd 2.3.0-1
gdb 9.1-2
gdb-common 9.1-2
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
gegl 0.4.22-1
gentium-plus-font 5.000-4
geoclue 2.5.6-1
geocode-glib 3.26.2-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.20.2-1
ghostscript 9.52-1
giblib 1.2.4-7
giflib 5.2.1-1
gimp 2.10.18-6
git 2.26.2-1
gjs 2:1.64.2-1
glib-networking 2.64.2-1
glib2 2.64.2-1
glibc 2.31-2
glibmm 2.64.2-1
glslang 8.13.3743-1
glu 9.0.1-1
glusterfs 1:7.4-1
gmime3 3.2.7-1
gmp 6.2.0-1
gnu-free-fonts 20120503-7
gnu-netcat 0.7.1-7
gnugo 3.8-6
gnupg 2.2.20-1
gnutls 3.6.13-1
go 2:1.14.2-1
gobject-introspection-runtime 1.64.1-2
gom 0.4-1
google-chrome 81.0.4044.113-1
gpgme 1.13.1-3
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.5-1
graphene 1.10.0-1
graphite 1:1.3.14-1
grep 3.4-1
grilo 0.3.12-1
groff 1.22.4-3
grpc 1.28.1-1
grub 2:2.04-5
gsettings-desktop-schemas 3.36.1-1
gsfonts 20180524-2
gsl 2.6-1
gsm 1.0.19-1
gsound 1.0.2-4
gspell 1.8.3-1
gssdp 1.2.2-1
gst-plugin-gtk 1.16.2-3
gst-plugins-bad 1.16.2-8
gst-plugins-bad-libs 1.16.2-8
gst-plugins-base 1.16.2-1
gst-plugins-base-libs 1.16.2-1
gst-plugins-good 1.16.2-3
gstreamer 1.16.2-1
gtk-engine-murrine 0.98.2-3
gtk-update-icon-cache 1:3.24.20-1
gtk-vnc 1.0.0-1
gtk2 2.24.32-2
gtk3 1:3.24.20-1
gtkmm 1:2.24.5-3
gtkmm3 3.24.2-1
gtksourceview3 3.24.11-1
gtksourceview4 4.6.0-1
gtkspell 2.0.16-7
gtkspell3 3.0.10-2
guile 2.2.6-2
guile2.0 2.0.14-4
gupnp 1.2.2-1
gupnp-av 0.12.11+2+gb5ca07c-1
gupnp-dlna 0.10.5+4+gc947eed-1
gupnp-igd 0.2.5+3+gedd78a6-2
gwenview 20.04.0-1
gzip 1.10-3
harfbuzz 2.6.5-1
harfbuzz-icu 2.6.5-1
hdparm 9.58-3
hicolor-icon-theme 0.17-1
hspell 1.4-2
htop 2.2.0-3
http-parser 2.9.4-1
httperf-git r200.g568322e-1
hunspell 1.7.0-2
hwids 20200306-1
hwloc 2.2.0-1
hyphen 2.8.8-2
i3-gaps 4.18.1-1
i3blocks 1.5-3
i3lock 2.12-1
i3status 2.13-2
iana-etc 20200428-1
icu 65.1-3
ijs 0.35-2
imagemagick 7.0.10.10-1
imlib2 1.6.1-1
inetutils 1.9.4-8
iniparser 4.1-1
inkscape 0.92.5-1
intel-gmmlib 20.1.1-1
intel-media-driver 20.1.1-1
intel-media-sdk 20.1.1-1
intel-tbb 2020.2-1
iproute2 5.6.0-1
iptables 1:1.8.4-1
iputils 20190709-2
iso-codes 4.4-1
iw 5.4-1
jack 0.125.0-9
jad 1.5.8e-8
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-2
java-runtime-common 3-2
jbig2dec 0.18-1
jdk-openjdk 13.0.2.u8-1
jemalloc 1:5.2.1-1
jfsutils 1.1.15-7
joyutils 1.6.1-1
jq 1.6-2
jre-openjdk 13.0.2.u8-1
jre-openjdk-headless 13.0.2.u8-1
js60 60.9.0-2
js68 68.7.0-1
json-c 0.14-1
json-glib 1.4.4-1
jsoncpp 1.9.2-1
kaccounts-integration 20.04.0-1
kactivities 5.69.0-1
kactivities-stats 5.69.0-1
kactivitymanagerd 5.18.4.1-1
karchive 5.69.0-1
kate 20.04.0-1
kauth 5.69.0-1
kbd 2.2.0-5
kbookmarks 5.69.0-1
kcalc 20.04.0-1
kcmutils 5.69.0-1
kcodecs 5.69.0-1
kcompletion 5.69.0-1
kconfig 5.69.0-1
kconfigwidgets 5.69.0-1
kcoreaddons 5.69.0-1
kcrash 5.69.0-1
kdbusaddons 5.69.0-1
kde-cli-tools 5.18.4.1-1
kde-gtk-config 5.18.4.1-1
kdeclarative 5.69.0-1
kdecoration 5.18.4.1-1
kded 5.69.0-1
kdelibs4support 5.69.0-1
kdeplasma-addons 5.18.4.1-1
kdesu 5.69.0-1
kdnssd 5.69.0-1
kdsoap 1.9.0-1
kdsoap-ws-discovery-client git20200316-2
keepassxc 2.5.4-2
kemoticons 5.69.0-1
keyutils 1.6.1-3
kfilemetadata 5.69.0-1
kgamma5 5.18.4.1-1
kglobalaccel 5.69.0-1
kguiaddons 5.69.0-1
kholidays 1:5.69.0-1
khotkeys 5.18.4.1-1
ki18n 5.69.0-1
kiconthemes 5.69.0-1
kidletime 5.69.0-1
kinfocenter 5.18.4.1-1
kinit 5.69.0-1
kio 5.69.0-1
kio-extras 20.04.0-1
kirigami2 5.69.0-1
kitemmodels 5.69.0-1
kitemviews 5.69.0-1
kjobwidgets 5.69.0-1
kjs 5.69.0-1
kjsembed 5.69.0-1
kmenuedit 5.18.4.1-1
kmod 27-1
knetattach 5.18.4.1-1
knewstuff 5.69.0-1
knotifications 5.69.0-1
knotifyconfig 5.69.0-1
kpackage 5.69.0-1
kparts 5.69.0-1
kpeople 5.69.0-1
kpty 5.69.0-1
kquickcharts 5.69.0-1
krb5 1.18-1
kross 5.69.0-1
krunner 5.69.0-1
kscreen 5.18.4.1-1
kscreenlocker 5.18.4.1-1
kservice 5.69.0-1
ksshaskpass 5.18.4.1-1
ksysguard 5.18.4.1-1
ktexteditor 5.69.0-1
ktextwidgets 5.69.0-1
ktorrent 5.1.2-2
kunitconversion 5.69.0-1
kuserfeedback 1.0.0-1
kvantum-qt5 0.15.2-1
kvantum-theme-arc 20180614-3
kvantum-theme-materia 20200312-1
kwallet 5.69.0-1
kwallet-pam 5.18.4.1-1
kwayland 5.69.0-1
kwayland-integration 5.18.4.1-1
kwidgetsaddons 5.69.0-1
kwin 5.18.4.1-4
kwindowsystem 5.69.0-1
kwrited 5.18.4.1-1
kxmlgui 5.69.0-1
kxmlrpcclient 5.69.0-1
l-smash 2.14.5-1
lame 3.100-2
lapack 3.9.0-2
latte-dock 0.9.11-1
lcms2 2.9-2
ldb 1:2.1.1-1
ldns 1.7.1-2
lensfun 0.3.95-1
less 551-3
libabw 0.1.3-1
libaccounts-glib 1.25-1
libaccounts-qt 1.16-2
libaio 0.3.112-2
libao 1.2.2-2
libarchive 3.4.2-1
libass 0.14.0-1
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libb64 1.2.1-3
libblockdev 2.23-3
libbluray 1.2.0-3
libbs2b 3.1.0-6
libbsd 0.10.0-1
libbytesize 2.2-1
libcaca 0.99.beta19-2
libcacard 2.7.0-1
libcanberra 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libcap 2.33-1
libcap-ng 0.7.10-1
libcddb 1.3.2-5
libcdio 2.1.0-1
libcdio-paranoia 10.2+2.0.1-1
libcdr 0.1.6-1
libchamplain 0.12.20-1
libcmis 0.5.2-4
libconfig 1.7.2-2
